StartDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q1,Q1_6_TEXT,school_selected,school_other,Q3,Q4,Q4_12_TEXT,Q5,Q5_8_TEXT,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q9_6_TEXT,has_library,Q11,Q13,Q14,Q15,Q16,Q16_3_TEXT,Q17,Q18,Q18_3_TEXT,Q12,Q19,Q20,lantern_group,Q22,Q22_7_TEXT,Q23,Q24,Q24_3_TEXT,Q25,Q25_8_TEXT,Q26,Q27,Q28,Q28_18_TEXT,Q29,Q29_5_TEXT,Q30,menstrual_kit,Q32,Q33,Q33_5_TEXT,Q34,Q34_3_TEXT,Q35,Q35_4_TEXT,has_computers,Q37,Q37_9_TEXT,Q38,Q38_7_TEXT,Q39,Q40,Q40_4_TEXT,Q41,Q41_9_TEXT,Q42,Q43,school_name
2019-03-20 08:04:06,590,R_lgcAmkEXMctww48,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,14,NA,JHS Form 1,NA,Yes,3-4 times,NA,NA,Difficult to understand,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Never assigned a group,NA,No,No,"Never, I do not have a kit",I do not have a kit,NA,I do not have a kit,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 08:14:09,616,R_kxmeAF0IWysvLzt,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,13,NA,JHS Form 1,NA,No,1-2 times,NA,NA,No problems,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Never assigned a group,NA,Yes,No,"Never, I do not have a kit",I do not have a kit,NA,I do not have a kit,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 08:24:38,494,R_6gA8qDENdSQ1SMR,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,15,NA,JHS Form 1,NA,Yes,1-2 times,NA,NA,No problems,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,No,"Never, I do not have a kit",I do not have a kit,NA,I do not have a kit,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 08:33:04,1005,R_6OTo9nwDUzdD3Az,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,13,NA,JHS Form 1,NA,Yes,3-4 times,NA,NA,Difficult to understand,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,"Reading,Homework,Exams",NA,NA,Never assigned a group,NA,No,No,"Never, I do not have a kit",I do not have a kit,NA,I do not have a kit,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-21 01:47:06,1338,R_aOSwTW7Pfq9ykUz,10.8470200000000005502442945726215839385986328125,-0.925532000000000021344703782233409583568572998046875,Sarah,NA,Ataampuutum A/B,NA,Female,12,NA,JHS Form 1,NA,Yes,1-2 times,NA,NA,No problems,NA,Yes,NA,"I visit with my class, during the library period",1-2 times a week,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,5,NA,Yes,NA,NA,5 x per week,NA,Yes,"Reading,Homework,Exams,Remembering lessons,Dictation",No Problem,NA,NA,NA,No,No,"Never, I do not have a kit",I do not have a kit,NA,I do not have a kit,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ataampuutum A/B
2019-03-21 02:09:30,825,R_lsL6zp4B4RnrYq6,5.550201416015625,-0.2174072265625,Sarah,NA,Ataampuutum A/B,NA,Female,17,NA,JHS Form 2,NA,No,Never,NA,NA,Other,Never used in this school year,Yes,NA,"I visit with my class, during the library period",More than 3 times a week,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Never assigned a group,NA,Yes,Yes,Every time I have my period for the entire period,"The training helped me learn more about my body,I feel more confident and comfortable when I have my period",NA,The pads and underwear are difficult to clean,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ataampuutum A/B
2019-03-21 02:23:21,846,R_nBm7QWimHTgEDzP,5.550201416015625,-0.2174072265625,Sarah,NA,Ataampuutum A/B,NA,Female,11,NA,Class 6,NA,Yes,1-2 times,NA,NA,"Missing parts,Difficult to understand",NA,Yes,NA,I visit the library during a school break or after school,1-2 times a week,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,3,NA,No,NA,NA,5 x per week,NA,No,"Reading,Homework,Exams,Remembering lessons,Dictation",No Problem,NA,NA,NA,No,No,"Never, I do not have a kit",I do not have a kit,NA,I do not have a kit,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ataampuutum A/B
2019-03-21 02:37:34,782,R_1GweJaJF6dkJ1Ar,5.550201416015625,-0.2174072265625,Sarah,NA,Ataampuutum A/B,NA,Female,12,NA,Class 6,NA,Yes,1-2 times,NA,NA,No problems,NA,Yes,NA,"I visit with my class, during the library period",1-2 times a week,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2,NA,Yes,NA,NA,5 x per week,NA,No,"Reading,Homework,Exams,Remembering lessons,Dictation",No Problem,NA,NA,NA,No,No,"Never, I do not have a kit",I do not have a kit,NA,I do not have a kit,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ataampuutum A/B
2019-03-21 02:50:43,733,R_5kbweX9OMPvLctg,5.550201416015625,-0.2174072265625,Sarah,NA,Ataampuutum A/B,NA,Male,14,NA,JHS Form 2,NA,Yes,3-4 times,NA,NA,No problems,NA,Yes,NA,"I visit with my class, during the library period",1-2 times a week,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,4,NA,Yes,NA,NA,6 x per week,NA,No,"Reading,Homework,Exams,Remembering lessons,Dictation","Not enough lanterns,No Problem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ataampuutum A/B
2019-03-21 03:03:02,857,R_gGElb230xvDPDPu,5.550201416015625,-0.2174072265625,Sarah,NA,Ataampuutum A/B,NA,Female,15,NA,JHS Form 2,NA,Yes,1-2 times,NA,NA,No problems,NA,Yes,NA,"I visit with my class, during the library period",1-2 times a week,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,5,NA,Yes,NA,NA,3 x per week,NA,No,"Reading,Homework,Exams,Remembering lessons,Dictation",No Problem,NA,NA,NA,Yes,Yes,Every time I have my period for the entire period,"The training helped me learn more about my body,I feel more confident and comfortable when I have my period",NA,The pads and underwear are difficult to clean,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ataampuutum A/B
